Parameter Name,Frequency
HAEMUOCLO                                    .                                       gm,1
Bed No.,1
Hemoglobin                            Cyanide free,1
Red Cell Count                         Flowcytometry,1
Hematocrit                                Calculated,1
MCV                                Calculated,1
MCH                                      Calculated,1
Patient         APR,1
C-REACTIVE PROTIEN (CRP),1
WBC Count                            Flowcytometry,1
Neutrophils                              Flowcytometry,1
Lymphocytes                             Flowcytometry,1
Monocytes                          Flowcytometry,1
-osinophils                              Flowcytometry,1
Basophils                                 Flowcytometry,1
Referred By  Dr. ANIRUDDIIA_VYAS - Reg No. MR-,1
MRNo. IP No.,1
PHOSPHORUS (PO,1
BCC Gen-,1
GLOBULIN.,1
GFR Estimated (calculated),1
This formula is derived CKD-EPI creatinine equation,1
population  adults over,1
MCHC                                   Calculated,1
RDW                               Calculated,1
MCV (Normal),1
SOM BAZAR MAIN ROAD OPP.-BEDI MARKET DELHI,1
Date        po                                         SriNo.,1
BLOOD SUGAR FASTING,1
Home Collection Facility Available                                            Contd...,1
PLEASE CO-RELATE.RESULTS CLINICALLY iF THE RESULT(S) OF THE TEST(S) IS ALARMING OR UN EXPECTED THE PATIENTTREATING DOCTOR,1
CHID,1
eg ta                     a,1
Salmonella Paratyphi BH Ag,1
An absolute agglutination titre of,1
appear in patients blood after,1
UHID                        AHDW.,1
Episode                     IP                                                                  P,1
Ref. Doctor            Dr. Int. Med. -,1
FlowCytomety.,1
Patient Name          Ms. PARINA LEPCHA                                    AgeSex,1
PLASMA GLUCOSE (R),1
BUN,1
Serum UV without P,1
Ref. Doctor              Dr. Int. Med. -,1
.                                  - o        nt tp lvel   Cae          meport Dates,1
Salmonella Typhi O Ag,1
Salmonella Typhi H Ag                                ),1
Salmonella Paratyphi AH Ag,1
DENGUE NS,1
(Ri,1
UROLILINOGEN                           NEGATIVE         mgdl          Less then,1
REM BLOOOCELLS -                            NIL                     (HPF              (,1
PUS CELLS                  wo,1
RegNo DMCR,1
.           P         ic,1
PLASMA GLUCOSE (P.P),1
from microbial infections the CRP concentration can rise up to,1
Patient        APR,1
Refering By Dr. Rakhi Sanyal (Dutta Sarma)          Reg. i Hl                       Date Of Report J,1
Mc-,1
P        WHOLE BLOOD (K,1
Instrument Used                               ECS-,1
Routine Service,1
DENGUE FEVER NS-,1
PLATELET - ADEQUATE ON SMEAR.,1
Consultant Pathologist,1
.                 Deihi-Rontax Road Bahadurgarh-,1
De                  Ospita      Ph.,1
as      TT     E-mail  deinihospital,1
Or Ruhul Chandra Enon a awade                    EG NO,1
Reg. No OMC-,1
OREN EULER waa ty FEAT Ale AINE SMO SHATADE S,1
Fax,1
a rey                   AN ISO,1
Date iii                                       Sri No.,1
HAEMOGLOBIN (HB),1
)           OSINOPHIL,1
IMONOCYTE,1
MOV,1
MCC,1
pinky verma                                                                                                                        DCP Reg No-MP,1
Printed By  MANIS,1
-  PS pe,1
Visas MD (PATHOL OG,1
RG. NO.,1
CONSULTANT PATHOLOS,1
x MORE THAN,1
ANAND  HOSPITAL             Ph,1
UHID                             AHDW.,1
Episode                    IP                                                               IPBed,1
Absolute Neutrophils                  Calculated,1
Absolute Lymphocytes                Calculated,1
Absolute Monocytes                   Calculated,1
Absolute Eosinophils                  Calculated,1
Absolute Basophils                     Calculated,1
Platelet Count                             Flowcytometry,1
FMetHb,1
cCL,1
ABE                           -,1
SBE                            -,1
ctC oz Bic,1
Lab No       Pe                     Rog Date,1
Detail  UHID se No IP,1
(T),1
em stic,1
cud A-a)je,1
Farry eo                      AN ISO,1
Lab No                                                Date,1
By   ne                           Report Date,1
Detail  UHID P,1
ge WHOLE,1
FHHb,1
Total Leucocyte Count EDTA,1
Platelet Count EDTA WHOLE,1
hICHC,1
Sil ir,1
Isdlated ateratory investigations newer canter the fr al Magness of disease Collusorative cChinicepathvlogical interpretation,1
Any rec,1
PROTHROMBIN CONTROL,1
CLCO,1
Ve                 e              O SD      a        Ph.,1
INVESTIGATION REPORT                                             wc,1
Ward  E,1
ReqNo,1
OPP. GOVT.      Ss              IRCULA      AD REWARI-,1
PH.                                              Tel.,1
SPUTUM CULTURE,1
Provided within,1
Serum Sodium mmooWL_ (,1
SerumPotassium moo,1
Serum Chloride OG mmolL,1
Total Bilirubin mgd,1
eB Bee,1
Tacmoqiobin Tt,1
aonowtes it,1
RBC COUNT                                                                    B,1
(Globulin B,1
AIGRatio Ratio,1
urea Bm,1
TSH BBO rr,1
Monocytes G,1
RBC COUNT BEI OAC,1
Packed cellvolume BA,1
Plateletcount OA BL_,1
SERUM LIPASE,1
Contd...,1
Seagsh               H-,1
MM  Or -JITENDRA GUPTA                 Sample Collected,1
ALTV(SGPT) R,1
Alkaline Phosphatase KZ,1
ProteinTotal gid,1
Albumin gd,1
BLOOD GAS VALUES (,1
pH(T),1
pCO,1
ctHB,1
ID                                                                       Delhi-Rohtak Road Bahadurgarh-,1
é                             O S p l      a         Ph.,1
Date           Po                                             SriNo.,1
AMYLASE,1
Packed Cell Volume               -,1
Neutrophil                           -,1
Monocytes                          O,1
Collected At  CASUALTY-,1
BILIRUBIN (INDIRECT),1
.G.P.T (ALT),1
G.G.T,1
and may not add upto exactly,1
ale                   ate,1
Refd. By          Or. Kuna Shrirval              Speciman .,1
UHID No.,1
KAILASH HEALTHCARE LTD. CIN  U,1
Read. Office  A-,1
M O U N T                                Plot No.,1
REG. NO NH,1
R.B.C. count                       -,1
SERUM SODIUMINA),1
CHLORIDEICI-)                                       ye OD            minol L,1
body. These test help identify the presence of me pal disgwae Med OF Lig etal resp oss,1
Eosinophil                     - Ql,1
Basophil,1
occ ccccetescctavectustesesssseessssesseees ENG Of REPOST,1
Lab Test Report                    Page,1
veenger  Me          oe No,1
Packed cell volume                                                      B,1
Haemoglobin gid -,1
TUG,1
Lymphocytes B,1
ra qe                aa,1
SERUM CREATININE                             WS            nea               W.KD-,1
PsERUM LRIC ACID,1
SERUM CALCIUM                                               Q.,1
f      a. unit of Asian Institute of Gastrocnterology CIN L,1
Ack Date            ER,1
Repart Saved By - Y SUBASH CHANDRA BOSE NNN,1
Print DateTime I,1
O Minds pace avoad Gachibowi Aycdcrabact Telangana S,1
.    AG RATIO,1
Chronic liver disease ASTALT ratio,1
i   R.B.C. Count,1
Patient Name s_s Mr. BIPUL CHAKRABORTY             AgeSex,1
Ack Date          P,1
RANDOM BLOOD GLUCOSE,1
Interpretations Random plasma glucose,1
but less than,1
patients have increased risk of developing type,1
Report Saved By - NAMBURU VEERAIAH IRR,1
O Mindspace Road Gachibowli Hyderabad Telanciaria -,1
Report Saved By - A THIRUPATHAIAH MM,1
O Miticspace Road Garhinowli Hyderabeu Telanaaina SOt,1
Patient Name  Mr. BIPUL CHAKRABORTY                AgeSex,1
Episode       OP                           Bill No.           AGOCS,1
Ack. Date       EE,1
Report Saved By - NAMBURU VEERAIAH,1
O Minaspace Road Gachibowsli Hyderabad Telangana -,1
unit of Asian Institute of Gastro nterology CIN U,1
Report Saved By - NUXATHATI SHEKAR RAO MMDS,1
Prict DateTime  MD,1
Q Mindspace Road Gachthowl Hyderapad. Tehangana-,1
Sample No     AGH,1
Ack. Date      s                    Report Date,1
Miiaad - Pnowametric cotoag asn,1
APTT TEST,1
Therapeutic range for Oral Anticoagulant therapy INR,1
NOTE Trip documen.,1
Virshing yOu a speedy recovery,1
lea  Name        _ PATH                                                   D,1
Dr. OR KUNAL                       Chent Code        OO,1
Panel Name            _ MEDLIX HOSPITAL                        Barcode No,1
INSUFFICIENCY,1
SUFFICIENCY                                           Be,1
hicy,1
TOXICITY,1
Interpretation - Tre inajor circulanng form of viiamin D is,1
suficienx y has been defined as a scrum,1
sufficiency Vitam D sufficency has been defined as serum,1
.                                                           Goch ns A,1
of      te                                                           Dr. Pankaj Sherree                      O Cwall.,1
Wisag yo.,1
Patient Name        Mr. GAURAV PATHAK             Collected,1
Age Gender         -,1
Visit,1
Ref. BY            - Or.DR KUNAL                    Client Code       O,1
jPane Name        MEOLIX HOSPITAL               Barcode Nc,1
Wi) ruperta aro ewotonedt cineaty          fo. egal purpose,1
F the resum are alarming or unespecec                                   G,1
Lab Test Report                    Page sor,1
Patient Name  Mr. GAURAV PATHAK            IPONo.,1
omeneneneerenrrnwummmerwemvevwemmmmemmmmmmes  HEAITH CARE PAR EXCELLENCE,1
UHIO No.,1
Heamoglobin,1
Neutrophils Counnt,1
Lymphocytes Count,1
Eosinophils Count,1
Monocytes Count,1
Basophils Count,1
MCH(Mean Corpuscular Hacmoglotin ),1
MCHC(Mean Corpuscular HB Concentration),1
Platelets Count,1
NOTE This cocument,1
sheny you  speedy,1
Dr. SANDEEP SIR                                        Collection Date,1
age Sex,1
SERURA CREATININE                            p Up an ead             medl,1
Culture Comment                                        No bacterial growth was detected at the end of,1
Siknamani CenYElyfidya he PAGES FéGd,1
NEAR,1
UNDIYA CHAURAHA BAJPUR-,1
HIB (HAEMOGLOBIN),1
The,1
PCV HCT,1
MCV( Mean Cocpuscular Volume ),1
wee. TFS                                      O,1
Home Catlection Facility Available Call,1
Diecteimer  Thes is  professional opinion for ciniciar                                      tan     hy,1
IVA CHAURAHA BAJPUR-,1
CBC - COMPLETE HEMOGRAN ...,1
Rec,1
Sample Type        Blood in Culture Bottle,1
Sample ID            A,1
MMCH,1
NEUTHOPHILS,1
By aeHocrtes,1
CSINOPHILS,1
MOlsGCITES,1
ee eeaeenesneneesnenecenenstiterscesersesseceasersecteressnnss,1
PLATELET COURT,1
JSINOPHIS,1
ne Collection Facility Available Call,1
slater  The   professional opinion for cinicians help and not                     weraleoey All Herman ety,1
jested,1
Cecourace set,1
USG CT SCAN X RAY  PATHOLOGY      SER,1
YA CHAURAHA BAJPUR-,1
NET-GCD TAIFiiinisO MKANETT,1
OLBUPINGLORJLIN KATO,1
Age,1
FBC,1
ftE UTROPHILS,1
LYIAPHOCYTES,1
B ocr,1
oo cecaaecaecececsccececesenanessecsnterercensses e,1
the result(s) of the investgtaion(s isare unoxpocte,1
FF cage Kays,1
aa Tyre Ct ornare,1
a yon Eacility Avattabte Call  O,1
eugnestes,1
ty PM an Sy ha Ee TR   ae,1
.               we i  yar   BOP root ii  sb L-       ( A           ab)                 .      eee   N  Toone vs,1
BAL to.           wynied,1
.             I,1
Patient Nam                                                                         UHID                      KH,1
SERUM URI ACO,1
SERUN SODIUM,1
CALQUM,1
SERUM BILIRUBIN (TOTAU,1
SERUM BILIRUBIN (DIRECT),1
SERUM BRIRUBIN (INDIRECT),1
ti              a,1
Lovel (,1
ALKAUNE PHOSPHATASE,1
SERUM GLOBUUN,1
ppler  Sonomam      hy,1
és                                    NEAR GARH CHUNGI RAILWAY CROSSING GARH ROAD HAPUR -,1
By       Dr. VIMLESH SHARMA MSFICSICMCHReceived On __       HE,1
(                   HAEMOGLOBIN (HB),1
MCH                                     ft,1
RDW                      t,1
P.CV  HAEMATOCRIT,1
Continuos Quality Improvement                                          Page No,1
Nee b,1
TACGESSION NS OO,1
TORTIS HOSPITALS LIMMED - IPD FARIZABAO       PeTIENTID . FK.,1
Dine                         ICLIENT PATTSHT (C UC,1
SGOT SERUM,1
SGPT SERUM                              so vr                 mgdl,1
IPkO-,1
(PIC-S,1
BILIRUBIN ATL,1
NSI,1
BILIRUB(A (NDIREU,1
WETHDS,1
(                  PLATELET COUNT,1
R B C (Red Blood Cells),1
ASPARTATE AMINO RANSFERASE( AS  fSGOT,1
BIETROG . U,1
ALANINE AMZNOTRANSFERAS (ALIS SGPT),1
GAMMA GI UTAMYL TRANSFERASE (GET),1
LACTATE DEHYOROGENASE,1
AL PIOD  L TE,1
a                                          ARPS NE                                ErerORTeD OS,1
IPO-EMs,1
Req.No           -,1
Serum Urea,1
Sultanpur Chowk Nr Ohulkot Barrier Ambala Chandigarh Expy Ambaia Haryana,1
Req.No          -,1
I)   A            ae                    AN ISO,1
MW ee eos Om Vihar Phase-,1
Fy iesemmantt il eva.,1
Reg. No.                 UHID,1
Suitanpur Chowk Nr Ohu.kot Barr er Ambala Chacaigarh Expy Ambala Haryana,1
PNo-o,1
ler,1
BIOCHEMISTRY Bed No,1
METHTO  CIRALLNE PILROTP RINETIC IRCC-,1
BLOOPR UREA KITKOGEN,1
Dr. Anjalee Chhetrl M .,1
.                                                                                  Patent let No.,1
(i   a x Opp. Ci Hosp Kea BS- ree Re  a        Delhi -,1
oN _ygs,1
apie avaat cian Ure  ave (RAAT led) TAR yorreaTaTe leroy gO yo,1
ENE OTRT- ecoTal MEG Baht eared ws eA aa wilaTye JOD                 ega.NO.                UPMC Regd No.,1
Toial RBC                                     Q,1
MCV                    ft,1
TRACE (,1
Aen,1
Total WBC,1
MPV                             Tt,1
PDW                               tt,1
Neutrophils                                    Tt,1
Basophils                                              Ol,1
DONE ON FULLY AUTOMATED SYSMIEX XN-,1
we --,1
ANI_LR,1
to nine times the upper normal limit of the assay (VIDAS PTH interval in such patient is,1
Hyderabad Telangana -,1
Corporate Identity Number (CIN) U,1
email malakpeyashodamail.com  www.yashodahospitals.com       a,1
CIN NO.  U,1
RONnd,1
QS       eo,1
S      A  RISHEGBH F                                   Moae eas i (Alwar) Raj. -,1
Stsmrghta geapar sa eied ner S,1
Wie sitathicew Nak...   it fj TP,1
a Receiv      anoa,1
THe,1
apf avant after ores  are (erate ered) sHegE YouecTaR otlorge Jo yo,1
ee ee,1
Total Prot Protein                     -,1
DONE ON FULLY AUTOMATED BIOCHEMISTRY ANALYZER ERBA EM,1
as   Recerved     anza,1
ssige Th.sire.oi.,1
Leh),1
is                                               OPIP NoUHID         OPSLCS,1
Lecce                       Collection DateTime,1
Ref Declor              - Ur. Rahul Yadav                                         Reporting DateTime -,1
SIN NaSRIN LiN,1
Blood Urea Nitrogen,1
ALL DISPUTES ARE SUBJECT TO DELH JURISDICTION              MRRMHREV,1
CONG,1
MGs. N,1
sd  S,1
Pest Putturmed at,1
P         a                       ee  ),1
IP No.,1
n             Ay                                                                             Reg No,1
Tone Theat,1
Dire f Sheek,1
aoa an Oa ce,1
Absuaw Bocrl y,1
Gama C,1
AGW,1
on i)                        C,1
SGoT HALT                       Pe,1
Y o,1
SF       ee           (AN ISO,1
_ IN Ai,1
Reg. NO.        URIDUZ,1
Req NoBarcode,1
LocReqNo,1
_  AgeGender,1
-           L                                                             CLINICAL PATHOLOGed No               GEN-,1
QUANTITY      .,1
-                     EPITHELIAL CELLS,1
Erint Date  Time J,1
ae Green Park Main New Delhi-,1
C yon . hosp,1
Diag-No,1
IP No,1
Specimen Type  SERUM                                                         Reported on  I,1
Ref.Doctor   (NISHEKAR REDDY D                          Location         MCWI-,1
Paes,1
tes),1
Comments  Assay precision,1
PARATHYROID HORMONE,1
Comments  Parathyroid hormone (PTH)is a single chain,1
recommended that preoperative and pre-excision samples are taken. Samptes should also be drawn at,1
minutes post resection and a,1
lype SERUM                                            oo          Reparting Tine,1
C-REACTIVE PROTEIN(QUANTITATIVE,1
infarction It,1
Salmonella Typhi,1
In typhoid fever the H titre ts elevated earlier and more frequently than the O titre. Antibody rise,1
an unvaccinated patient showing H andor O titres greater than or equal to,1
typhoid. PMID,1
had relatively good NPV (,1
otal Leukocyte Count,1
Platelet    lakhscmm,1
otal Red Blood Count   Millionscumm,1
RMC NO.-,1
Ref By                       Self                                              Sample Collection,1
Room_no,1
TIBC(TOTAL IRONBINDING CAPACITY),1
SERUM IRON,1
SATURATION,1
TP RRITIN,1
RP Quantitative  RA Quantitative ASO Quantitative  Anti TPO,1
Di- Dimer Sickling Phenomenon  Immunohistochemistry All Routine Tests ANA AFP CA-,1
SHBG.,1
Req.No,1
Sample Volume,1
Specific gravity.,1
pli -Urine,1
Sultanpur Chowk Nr. Ohulkot Barrier. Ambala Chandigarh Expy. Ambala. Haryana,1
Leuckecytes.                            Abs,1
SH                                  et                                           .              ai,1
Esticiel Cals,1
Prirt OateTime,1
Poa,1
Ref Doctor,1
Fe   ony,1
ew                             ae            G,1
SHASH VADAV                             ee    Or. P              -,1
MBBS  M    nt     te Bit gREGD.NO-,1
Lab Techn clan                                                                                   P ys,1
www.rainbownarnaul.com,1
WardBed No _ - B-Bilock-FOURTH FLOOR,1
Dr.  MEDICINE UNIT (DR LN          IPDBill N,1
oe nar,1
Super Speciality tlospitat                                                            _,1
UHId                  AHD M,1
lege te    pe  . S-,1
ses MORON faMeornls on,1
MRA pe ren asus   LOS UM er sr,1
Someta fds CPL,1
Ag Hospi,1
Ccatrine,1
Prosahicrs,1
Cale urn,1
Mate Pees Se ito SAIY,1
Soh wine fan,1
Fotorsn,1
. v.      st,1
oe tel ot aa oa aft,1
Ref. Doctor          Dr. PAC (Pre Anaesthesia Checkup)                        Facility       . Aasash Healthcua,1
fej,1
pel                      Collection DateTime,1
Dr.Meenakshi Jain                                     Reporting DateTime,1
Urinary Potassium (Spot),1
Test Pertormed at,1
ehh My                                                       Pp         h,1
Jrea,1
P               Dr.vyom Aggarwal                                          Reporting DateTime,1
Dr. Pooja Bhasin M.D.,1
SODIUM - SERUM,1
POTASSIUM SERUM,1
BICARBONATE SERUM,1
CHLORIDE - SERUM,1
RESULT ENTERED BY  LABV,1
RESULT VERIFIED BY  LABV,1
positive result would have a low predictive value for the presence of typhoid fever (,1
INTERPRETATION,1
ONa ane Caft-t wl lrenss  she,1
Mohan Kishore                                                                 karin                           M.,1
Sr. Lab Technician                        es                                       oh                                  OMCR,1
A Unit of RINSE Marketing Pvt. Ltd.      ISO,1
BLOOD UREA NITROGEN(BUN),1
a.            Be                           Collection DateTime,1
CHLORIDE(CI),1
Regt No-,1
KP-,1
.Rec. No.,1
Reg. No.,1
wre  Mrs MANJU DEVI                      Reg. No.                 RHR,1
a                             Accession No.           RL,1
correctly diagnosed but it is highly affected by a prevalence of the discase In this study only,1
ADAV DR PAWAN KUMAR)                                    ill No,1
Report Gen at I,1
URINE pH,1
SP. GRAVITY,1
URINE PUS CELLS,1
URINE RBC,1
f         ee        Raindo   oe nits,1
SODIUM(Na),1
pS       EMERGENCY MEDICAL OFFICER MPD       Reperting Date,1
Fair to Good control,1
Unsatisfactory control,1
Poor Control  More than,1
amy,1
Patient i    a,1
Admn   ilies  MRSE,1
Sample No x              Collection Date    po,1
e     mEqL CHLORIDE,1
Test results related only to the item tested.                   MC-,1
KARNAL-,1
.     po      Dr. Davinder Singh                               Sample                            .,1
po .                                                         Sample Reg Date,1
P.C.V. Haematocrit value,1
MCH                                   -,1
ll                          DM ste,1
Referred by                                                                               Specimen Collected on i,1
Dr SENTHILKUMAR R MDPDCC           ONY AOD LAUD MAN KK Posse oP,1
. SPECIFIC GRAVITY,1
UROBILINOGEN NORMAL. PUS CELLS,1
mEqL CHLORIDE,1
BIOCHEMISTRY AMMONIA AMMONIA,1
HAEMATOLOGY TLC TLC (Total Leucocyte Count),1
BIOCHEMISTRY CREATININE CREATININE,1
od pod-,1
PF               Dr.Vyom Aggarwal                                          Reporting DateTime,1
HAEMATOLOGY PROTHROMBIN TIME P.T.   Patient Value,1
Prothrombin Time (MNPT ),1
Normalized Ratio (INR),1
HAEMATOLOGY HAEMOGRAN  HB,1
v                                      .  -,1
--                                                                                                     equested on  NEE,1
Ref Dcctor               Cremruge oy ean Gy                              i goring DateTime,1
(LQ nn                        J,1
leet Perturme tan ss Maal bNao a n Jelte Tos op Poot Nae,1
dabNo Ds fesso,1
. - Collected. .,1
_   Collettediay,1
et ve ah Wedel Towa AISSAR-,1
ee tee a ce te ce ee faa ere Sante cee  Model Town HISSAR,1
OGTR - Bearnated Goernerudlin Dlte.ate sd Route ts suis ted oy NORD,1
Categers  Reflatersalbim) min E,1
Nero,1
PTL                       Page,1
Tel,1
Admn No (MM,1
Test results related only to the item tested.                    MC-,1
Patert Name           hr Marve S ngh                                     Cunve,1
Sample No   PF                 Collection Date      ss          Ack Date    po,1
Procalcitonin -PCT,1
Episode                 IP                                                                            F,1
Booking Cenre StS) - Max Hast ial - Guregran Onpasite HL DA Cas C shire Nletru Stet,1
mEuenen.y lean Gen                              deporting DateTime,1
Lrea,1
Crearnin,1
eGFR by WORD             THC. Ba                                                                       mimirt,1
HbAic,1
Result                                                         A,1
Normal                                                    less than,1
Prediabetes,1
Diabetes,1
diagnosing diabetes using a cut off point of,1
Excellent control-,1
Episode               IP                                                                 IP NO,1
Report Saved By - Y SUBASH CHANDRA BOSE,1
PrintDateTimo,1
QO Mindsnace Koad Gachiboudi Hyderabad Telandana,1
NEUTROPHIL LYMPHOCYTE RATIO,1
Manag - Electrical fapodane  inypcdonce                                                                                                A,1
Biock F Gol Chatter Palam Vihar Gurugram Haryana -,1
CIN UBS,1
Regd Off The Anneze,1
Wy   HOSPITAI G                                                                             oe,1
Episode              IP,1
AIG Hospitals (a unit af Asian institute of Gastroenteroiagy CIN U,1
Sample No        AGILO,1
Ack Date          RR,1
Theraseutc Range,1
Alo Hospitals a unitot Asian Insttuce of Gastroenterology  CIN U,1
Ack Date          A,1
Mean Cell Hemoglobin( MCH),1
pnts,1
Recommended Therapeutic range for Oral Anticoagulant therapy INR,1
Note.,1
Report Saved By - RATESH KUMAR MO,1
Print DateTime  MD,1
QO Mindspace Road Gachibowli Hyderabad Telangana -,1
AlG Hosoitals fa unit of Asian Institute of Gastroenterology  CIN,1
Corporate ID,1
frequently remain elevated for,1
disease antibiotic treatment during,1
Kecciving Date      NH Apr DOS,1
Page) of,1
O   POR (Ye,1
Mesesy Printed On,1
Mean Cell Volume(MCV),1
ces Pertoretat S,1
Hookine Gani,1
The wuthenttoit. ef ing temert ah as serine. By svar ee Oe,1
pia,1
MB Requested at   A,1
Sample Collected At. -,1
Sample Received At,1
Reported At  MM,1
minwzal AIA AR lawaharial Nehru Road (,1
Authorized At,1
Haemoglobin(Hb),1
Haematocrit (PCV),1
Total WBC Count (WBC),1
Basophilis,1
aPTT (Test),1
aPTT (Control),1
Paschim Vihar New Dethi-,1
Block No.,1
Sample Requested At  NN,1
Sample Collected At,1
Sample Received At    RR,1
Reported At  NE,1
Authorized At  NE,1
eee eee ee ys s s Nvm,1
Ter fe - me le Te oe       os al ad Fett Te Le Dre Te te Fe te Nl Teel als,1
Rag. Office Or Ut Part.abs Lint Mae- Secher- Garey eve Ooty,1
Wek wa mipawtabs com Gt LMOT,1
Name          ARVEEN KAUR                                     Age,1
Lab No.,1
Ref By            OR YOGINDER GUPTA                                         Reported,1
Collected   o,1
Collected At,1
Calcium Serum,1
_ Phosphorus,1
Alkaline Phosphatase (ALP),1
GFR estimated (eGFR) calculated using the,1
per KDIGO guideline,1
GFR category G,1
about,1
If estimated GFR Is,1
Advise CKD Risk Map (,1
lf estimated GFR is G,1
Advise,1
URINE EXAMINATION ROUTINE URINE RE (U,1
OMCAR,1
HEALTHCARE                                                                 SECTOR-,1
MS BHUMI  SHA,1
kp      Serum Creatnine,1
ND) Sodium(Na),1
Chioride(CL-),1
SGPT(ALT),1
SGOT(AST),1
Alkaline Phosphate(ALP),1
ca D Globulin,1
Hb(Haemoglobin),1
CIN No. U,1
Sarvodaya Hospital Sector-,1
Tel.                  Fax,1
Re   oN code  O,1
eee                         Sample col Date,1
BILLIRUBIN TOTAL,1
BILLIRUBIN DIRECT,1
BILLIRUBIN INDIRECT,1
_ SGOT (AST),1
ALK.PHOSPHATASE ALP,1
Date  Time RR,1
Rocd.JCorp.          Ground Floor a Park iViain Now Delhi -,1
sel. Ho.  O,1
ec              PAN NO AAATM,1
oe Matta Amritanandamayi Marg Sector,1
MRD NO,1
Sample Collected D,1
Creatinine                                         (ge,1
Urea                                                     a,1
BUN Blood Urea Nitrogen                              es,1
URIC ACID                                                 ig,1
Sodium                                                        pes,1
Potassium                                             ise,1
Chloride                                                       a,1
DMC-,1
pot      oO              ae or    ah  .       .,1
fore n-,1
fed                                               H-,1
fi                   GYNAECOLOGY                                                             NMS,1
ament       ime       P                                              Visit No             OP-,1
oe pate and Time,1
pate and Time,1
Packed Cell Volume(PCV),1
paitany,1
avari District A.P. -,1
J                                 H-,1
ft Name               a Mrs. g ANIVALLI LAKSHMI KOUNDINYA,1
and time EE,1
end Tine               _ a,1
Technician,1
Microbiologist,1
IPNo,1
MRNO,1
GLUCOSE TOLERANCE TEST (GTT) (,1
WBCCOUNT,1
LYMPHOCYTES.,1
Normalized Mean (NMAPT),1
ETS                   Ring Road Indore-,1
eo a,1
MONOCYTES.,1
PCV(HAEMATOCRIT),1
Panacea      NAMMAKAM    (iso)   ),1
CRP(CREACTIVEPROTEIN),1
PANACEA v NAMMAKAM  (is,1
HAL MOGLOBIN,1
WaCCOUNT,1
Req. No       -,1
NFUTROPHILS,1
PCV HAEMATOCRIT),1
MCv,1
WICH,1
MAL FAL,1
PLATELETCOUNI,1
our        (eves           (s,1
San,1
SFR IM SGPTCAL Ty,1
SERUM SGOT AST),1
SERUM ALKAL (NE PHOSPFKATASE,1
SERUM OTAL PROTEINS,1
AL BURN,1
SF rxUN st CIBUL IN,1
a                                                                                                                         Ka,1
aire,1
-  TOTALWBCCOUNT,1
-         LYMPHOCYTES,1
BASOPHILS                                         _,1
FERRITIN SERUM (,1
FERRITIN,1
WM  EpisodeNo,1
HEMOGLOBIN EDTA WHOLE BLOOD (,1
GLYCOSYLATED,1
SERUM CREATININE                       a oe             medl,1
Ring RoadIndore-,1
AA                          Website  www.bombayhospitalindore.com,1
-ODIUM,1
POTASSIUM - SERUM,1
-- TRRRSCCOr. PRAVEEN                                        Reporting On,1
ethod)                                                     Male,1
TOTAL RBC COUNT                                    .,1
Sample Type  CITRATED PLASMA                                                       Sample Reported On  ME,1
Normalized Mean (NMPT),1
INR Value,1
Therapeutic Range of INR for Anticoagulant Control.....,1
Fe                                       On,1
SC Or. PRAVEEN                              Reporting On,1
RANDOM BLOOD,1
.       BLOOD UREA,1
Sample Type  SERUM                                                Sample Reported On  hit,1
Troponin -  (HS),1
ETS                   Ring RoadIndore-,1
By srr. Ravi Rathi                                                                Vch No.,1
Sample Type  URINE                                                            Sample Reported On  NDS,1
Red Blood Cells,1
WBC Clumps                                      Absent                          hpf.,1
(eer                  Ring Road Indore-,1
WEE  EpisodeNo -,1
Mrs.  LAXMI                       Reg. No.         Pe Pd NO.          -P,1
ey              je,1
fag,1
a y,1
YY  rn        pert,1
ey  s         Serum Bilrubin (Total),1
Serum Bihrudin (Direct),1
WEB  EpisodeNo,1
Sample Type  EDTA                                                                  Sample Reported On  MM,1
Erythrocytes,1
Haemotocrit,1
Leucocytes,1
Platelets,1
Mean Platelet Volume,1
Method  CBC-Spectrophotometric  Electronic  Impedance Calculation  Microscopic Examination. Reference range from Dacies Lewis Practical Haematology,1
ERYTHROPOIETIN,1
po     T       es,1
EP ROTEIN SERUM (,1
C-REACTIVE PROTEIN,1
CREATININE EGFR- EP (,1
TITRATION _,1
RATE (MALE)                                           Interpretatio                    m,1
POTASSIUM SERUM (,1
HEMOGLOBIN (HBA,1
goals,1
CELLS,1
CREATININE EGFR- EPI (,1
GE LTRATION,1
RATE (MALE)                                                                          m,1
ELECTROLYTES (NAKCL) SERUM (,1
ERYTHROPOIETIN SERUM (,1
Name                    DAYAL SHARMA        Reg. No.                 UHID,1
SGPT (ALT) Serum cc wan PrP,1
Alkaline Phosphatase (ALP) Serum pxe aue,1
Protein Total Biuret - colorimemc,1
Globulin Cetcuteted,1
AIG Ratio Catseted,1
Manavir japuriya                                                                                                                         mC -,1
ALN MargJaipur-,1
Ref By  Or DIRECT HOSPITAL       Sample Type  EDTA blood        Process At. _-,1
MEAN PLASMA GLUCOSE,1
HEPATITIS B CORE ANTIBODIES (TOTAL) SERUM (,1
HEPATITIS B SURFACE ANTIGEN QUANTITATIVE (CMIA)(SRL-,1
HEPATITIS B SURFACE,1
HEPATITIS C ANTIBODIES SERUM (,1
HIV-,1
M E D I Cc ITY                                 a                   Jaipur-,1
